Date,Open,High,Low,Close,Adj Close,Volume
07-01-2002,0.423571,0.428571,0.40625,0.408929,0.350601,444584000
08-01-2002,0.40625,0.411607,0.401071,0.40375,0.346161,450038400
09-01-2002,0.407143,0.409464,0.38,0.386607,0.331463,327835200
10-01-2002,0.378929,0.383214,0.361607,0.379107,0.325033,452737600
11-01-2002,0.381964,0.39,0.367857,0.375893,0.322278,348801600
14-01-2002,0.375179,0.382143,0.373214,0.377679,0.323809,415996000
15-01-2002,0.380714,0.388571,0.37875,0.3875,0.332229,290320800
16-01-2002,0.382321,0.382321,0.366071,0.371071,0.318143,566893600
17-01-2002,0.392143,0.406071,0.390536,0.401429,0.344171,660576000
18-01-2002,0.392857,0.403571,0.392143,0.395893,0.339425,338811200
22-01-2002,0.397679,0.399464,0.389643,0.389643,0.334066,327314400
23-01-2002,0.389286,0.411429,0.385536,0.411071,0.352438,443279200
24-01-2002,0.409107,0.419821,0.408929,0.414464,0.355347,344002400
25-01-2002,0.40875,0.418214,0.404643,0.415179,0.35596,185914400
28-01-2002,0.417857,0.420536,0.405714,0.415536,0.356266,186446400
